country,code,year,valueCOMP,valueEMP,valueEMPE,valueGO,valueGO_PI,valueGO_PYP,valueGO_Q,valueH_EMP,valueH_EMPE,valueII,valueII_PI,valueII_PYP,valueII_Q,valueLP_QI,valueVA,valueVA_PI,valueVA_PYP,valueVA_Q
BEL,C20,2015,4169.9,44.00225,43.89525,32137.4,109.719,33729.4,29290.5,71953.89,71688.799,22961.6,107.395,24427.6,21380.6,110.0764932144222,9175.799999999999,116.589,9301.799999999999,7870.2
BEL,C20,2016,3854.9,41.585125,41.46725,28934.3,107.192,29616.5,26993,68159.74099999999,67871.496,20434.6,104.671,20966.4,19522.7,109.5463962519664,8499.700000000001,114.562,8650.1,7419.3
BEL,C20,2017,3935.8,41.916625,41.78525,31878.7,113.337,30150.2,28127.3,68657.5,68337.17200000001,22661.8,111.632,21248.7,20300.5,113.8927626784947,9216.9,118.621,8901.5,7770
BEL,C20_C21,2010,5627.5,66.89987182617188,66.68424987792969,41688.6015625,100,39301.3984375,41688.6015625,109442.3359375,108888.703125,28457.19921875,100,26123,28457.19921875,100,13231.400390625,100,13178.400390625,13231.400390625
BEL,C20_C21,2011,5902.2998046875,67.61862182617188,67.40875244140625,44918.8984375,106.5006763704165,42177.1015625,42177.1015625,110373.15625,109835.2578125,32298.69921875,109.059384281906,29615.69921875,29615.69921875,94.13565294946856,12620.2001953125,100.4680991199945,12561.400390625,12561.400390625
BEL,C20_C21,2012,6117.60009765625,67.46062469482422,67.26999664306641,46467.5,111.1679689271502,44516.6015625,41799.36041689377,110718.2421875,110210.8125,33458.69921875,113.4814628980861,32154.900390625,29483.84552356198,91.92007741900555,13008.7998046875,105.7273164337949,12361.7001953125,12304.10478907166
BEL,C20_C21,2013,6296.89990234375,67.46187591552734,67.31224822998047,46743.80078125,112.7784415128546,46076.30078125,41447.46119401028,110491.578125,110099.203125,33055,114.905657669747,32645.30078125,28767.07785355892,95.0980268096198,13688.7998046875,107.7566874059314,13431,12703.43412944783
BEL,C20_C21,2014,6243.7001953125,67.15137481689453,66.99874877929688,45958.5,111.8997262294385,46319.3984375,41071.14605961322,109714.2578125,109330.6015625,31711.69921875,113.3289255490658,32152.900390625,27981.9993572783,99.11395506973948,14246.7998046875,108.3674833648817,14166.5,13146.74786413322
BEL,C20_C21,2015,6356.10009765625,67.3126220703125,67.14800262451172,47873.30078125,108.9700128840913,49160.3984375,43932.54576575268,109752.1875,109346.953125,32988.69921875,108.9607452624166,34311.19921875,30275.76503749252,103.2691094726327,14884.599609375,108.625823569343,14849.2001953125,13702.63453042838
BEL,C20_C21,2016,6315.89990234375,66.62412261962891,66.43849945068359,49596.3984375,107.5731949750005,50240.3984375,46104.79260100617,108867.453125,108416.6796875,34341.19921875,107.5585266605244,34788.8984375,31927.91895256943,108.0734569339113,15255.2001953125,107.2458133469904,15451.5,14224.51815993486
BEL,C20_C21,2017,6578.2001953125,67.87425231933594,67.67600250244141,57558.6015625,109.9495068166174,56314.6015625,52350.03159996057,110824.296875,110343.2109375,40750.6015625,111.3096778507383,39377.30078125,36610.1154448986,117.8713915178117,16808,106.4270897716903,16937.30078125,15792.9715414157
BEL,C21,2010,1798,21.25175,21.21925,12096.1,100,11746.4,12096.1,34720.445,34637.219,6289.5,100,5818.9,6289.5,100,5806.6,100,5927.5,5806.6
BEL,C21,2011,1937.4,21.846625,21.8,11609.7,103.322,11236.4,11236.4,35521.485,35401.19,6624.5,107.382,6169.1,6169.1,85.30165289603903,4985.2,98.378,5067.3,5067.4
BEL,C21,2012,2047.5,22.47525,22.4215,12687.8,105.412,12436.3,12036.4,36787.045,36644.869,7281.1,110.422,7080.6,6593.9,88.48844960177685,5406.7,99.315,5355.7,5444
