country,code,year,valuecomp,valueemp,valueempe,valuego,valuego_pi,valuego_pyp,valuego_q,valueh_emp,valueh_empe,valueii,valueii_pi,valueii_pyp,valueii_q,valuelp_qi,valueva,valueva_pi,valueva_pyp,valueva_q
PRT,H49,2013,1749.9,95.089996,90.68,7022.7002,104.27219,6940.5,6734.9692,200561,190209,4182.2998,108.8886,4275.2998,3840.8979,99.541115,2840.3999,98.526772,2665.1001,2882.8713
PRT,H49,2014,1776.7,96.489998,91.760002,7095.6001,105.37411,7021.3999,6733.7227,202168,191363,4241.3999,107.57229,4293.2998,3942.8372,94.845642,2854.2,103.08093,2728.1001,2768.8921
PRT,H49,2015,1924,99.449997,94.970001,7301.6001,107.1826,7178.3999,6812.2998,206538,196516,4199.2002,107.49548,4202.2002,3906.3965,96.807175,3102.3999,107.45188,2976.2,2887.2458
PRT,H49,2016,1986,102.87,98.580002,7451.3999,108.56085,7356.7998,6863.8003,212421,202357,4268.7998,108.15678,4242.7002,3946.8633,94.481079,3182.6001,109.81547,3114.1001,2898.1345
PRT,H49,2017,2131.1514,106.91943,102.06017,8001.7686,,,,222040.83,211327.02,4620.082,,,,94.849129,3378.2266,111.08267,3339.6885,3041.1821
PRT,H50,2010,60.900002,2.6099999,2.3199999,439.79999,100,431.39999,439.79999,4662,4344,334.39999,100,324,334.39999,100,105.4,100,107.4,105.4
PRT,H50,2011,59,2.6099999,2.3099999,438.29999,101.13059,433.39999,433.40002,4720,4404,330,101.41364,325.39999,325.39999,101.20766,108.3,100.27778,108,108
PRT,H50,2012,50.799999,2.3499999,2.0599999,433.10001,98.959915,442.60001,437.65195,4295,3995,333.79999,100.42087,337.10001,332.40103,108.34683,99.199997,94.289627,105.5,105.20775
PRT,H50,2013,52.799999,2.4200001,2.1099999,461.10001,95.701378,476.79999,481.81125,4422,4108,345,94.298309,367.39999,365.86023,116.05566,116.1,100.06422,109.4,116.02549
PRT,H50,2014,53.799999,2.5699999,2.26,597.5,97.712875,585.20001,611.48541,4539,4247,444.79999,94.446938,444.10001,470.95227,137.41043,152.7,108.29062,141.10001,141.00945
PRT,H50,2015,54.400002,2.6500001,2.3199999,574.5,98.553452,569.59998,582.93237,4687,4347,427,95.31752,423.10001,447.97641,127.75557,147.5,108.95543,146.60001,135.37646
PRT,H50,2016,56,2.77,2.4000001,522.40002,93.710091,549.40002,557.46399,4832,4402,365.5,92.043732,378.5,397.09384,143.4973,156.89999,100.08845,170.8,156.76135
PRT,H50,2017,60.175114,2.8640618,2.4889543,595.16913,,,,5044.8384,4635.7031,432.45877,,,,141.65666,163.57593,101.24341,161.7099,161.56699
PRT,H51,2010,608.20001,10.82,10.82,3353.3,100,3288.8,3353.3,19513,19513,2406.3,100,2331.1001,2406.3,100,946.90002,100,957.70001,946.90002
PRT,H51,2011,577.90002,10.73,10.73,3517.8999,110.466,3184.6001,3184.5999,17390,17390,2705.5,112.78086,2398.8999,2398.8999,93.105873,812.40002,103.39825,785.70001,785.69995
PRT,H51,2012,566,10.56,10.56,3666.2,110.77419,3656,3309.616,17477,17477,2833.1001,113.63924,2811.7,2493.0649,96.268723,833.09998,102.03871,844.20001,816.45483
PRT,H51,2013,656.20001,10.69,10.69,3749.3,113.76603,3650.7,3295.6235,17381,17381,2745.5,111.05846,2809.3,2472.1213,97.753227,1003.8,121.74784,841.29999,824.49103
PRT,H51,2014,645.79999,10.86,10.86,3810.6001,113.74215,3811.3999,3350.2092,18462,18462,2936.3999,109.00197,2991.8,2693.8965,75.132683,874.20001,129.87427,819.5,673.11255
PRT,H51,2015,647,11.18,11.18,3757,114.54092,3730.8,3280.0503,18877,18877,2853.8,103.61395,3002.2,2754.2625,61.234108,903.09998,161.0013,728.5,560.92712
PRT,H51,2016,683.5,11.5,11.5,3595.6001,115.42371,3568.1001,3115.1311,19312,19312,2740.1001,100.35439,2829.1001,2730.4238,48.978752,855.5,186.38243,739,459.0025
PRT,H51,2017,725.0448,11.986143,11.960178,3988.7791,,,,20240.043,20233.592,3052.1721,,,,51.075203,945.77838,188.53317,934.98914,501.65091
PRT,H52,2010,1172,36.139999,35.18,5924,100,5810.1001,5924,67256,65112,3222.6001,100,3121.8,3222.6001,100,2701.3999,100,2688.2,2701.3999
PRT,H52,2011,1070.9,34.700001,33.82,6104,101.25742,6028.2002,6028.2002,64452,62529,3395.8999,103.73278,3273.7,3273.7,106.39783,2708.1001,98.319046,2754.3999,2754.4001
PRT,H52,2012,1007.1,34.540001,33.919998,5499.5,101.74957,5472.8999,5404.937,62427,61115,2667.5,106.28685,2603.3999,2509.7178,116.39198,2832,97.037552,2869.3999,2918.4578
