country,year,isic,value_added,gross_output
4,2016,29,,
4,2017,29,,
4,2010,30,,0
4,2011,30,,0
4,2012,30,,1178134.902220572
4,2013,30,,1210604.635140127
4,2014,30,,0
4,2015,30,,0
4,2016,30,,
4,2017,30,,
4,2010,31,,0
4,2011,31,,0
4,2012,31,,3989655.04940601
4,2013,31,,3878306.876863015
4,2014,31,,0
4,2015,31,,0
4,2016,31,,
4,2017,31,,
4,2010,32,,0
4,2011,32,,0
4,2012,32,,1563091.607891024
4,2013,32,,1761669.643072985
4,2014,32,,0
4,2015,32,,0
4,2016,32,,
4,2017,32,,
4,2010,33,,0
4,2011,33,,0
4,2012,33,,3499326.065583001
4,2013,33,,2875718.031658574
4,2014,33,,0
4,2015,33,,0
4,2016,33,,
4,2017,33,,
4,2010,34,,0
4,2011,34,,0
4,2012,34,,6684175.675189132
4,2013,34,,6906128.490606188
4,2014,34,,0
4,2015,34,,0
4,2016,34,,
4,2017,34,,
4,2010,35,,0
4,2011,35,,0
4,2012,35,,2446779.25938889
4,2013,35,,2439698.503846285
4,2014,35,,0
4,2015,35,,0
4,2016,35,,
4,2017,35,,
4,2010,36,,32700097
4,2011,36,,32772151
4,2012,36,,29771373
4,2013,36,,28874543
4,2014,36,,29257121
4,2015,36,,27253075
4,2016,36,,
4,2017,36,,
4,2010,37,,0
4,2011,37,,0
4,2012,37,,822168.9270356495
4,2013,37,,703845.5519031099
4,2014,37,,0
4,2015,37,,0
4,2016,37,,
4,2017,37,,
8,2010,15,76791092,325704431
8,2011,15,72063276,342354571
8,2012,15,75477088,383163350
8,2013,15,86713931,374853709
8,2014,15,88903404,334858414
8,2015,15,79664040.15366566,312751721.8206127
8,2016,15,96783414.79044697,385718653.3319321
8,2017,15,105547510.804247,422677502.3952321
8,2010,16,1208277,4361800
8,2011,16,1432837,4708967
8,2012,16,628971,3129816
8,2013,16,-312429,5420755
8,2014,16,1327712,6231606
8,2015,16,6534827.508940309,15986642.86159166
8,2016,16,6932589.554233545,18514069.60834573
8,2017,16,9033584.195753032,23909137.82419908
8,2010,17,25984989.92944595,53414661.07415048
8,2011,17,30095316.1212777,62454753.05018012
8,2012,17,31432737.80146481,64200038.71721152
8,2013,17,38125289.5989577,72490010.06539075
8,2014,17,45600652.93113434,84869076.25736214
8,2015,17,6424134,12673798
8,2016,17,5398915,11053704
8,2017,17,5964495,12211867
8,2010,18,40101137.07055406,56414409.92584951
8,2011,18,43118619.67256619,60021598.94981989
8,2012,18,47522748.98921174,64214728.28278849
8,2013,18,51087530.34810522,68523035.67057043
8,2014,18,61436406.06886566,80982779.21116412
8,2015,18,78066841,129021723
8,2016,18,92328882,166286581
8,2017,18,102001082,183709429
8,2010,19,60719915,139533061
8,2011,19,80223565,167728307
8,2012,19,63853637,134434226
8,2013,19,76986242,159406232
8,2014,19,97576524,185155668
8,2015,19,80216522,159997427
8,2016,19,95806151,189142525
8,2017,19,105842623,208960128
8,2010,20,7133744,24984596
8,2011,20,10524292,30839936
8,2012,20,9511220,31554044
8,2013,20,9751149,35077028
8,2014,20,10999464,29002609
8,2015,20,6526019,24039202
8,2016,20,9290285,31106718
8,2017,20,10263518,34365956
8,2010,21,24594685.18457613,67546980.90878819
8,2011,21,26191800.06111602,65864951.11802992
