"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes","Value Footnotes"
"Bahrain","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2017","100","Bahrain dinar","1993","Western calendar year","921690047.821311","4","4"
"Bahrain","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2017","100","Bahrain dinar","1993","Western calendar year","599250140.826451","4","4"
"Bahrain","2.1","Industries","Hotels and restaurants","H","2017","100","Bahrain dinar","1993","Western calendar year","322439906.99486","4","4"
"Bahrain","2.1","Industries","Transport, storage and communications","I","2017","100","Bahrain dinar","1993","Western calendar year","957804841.105754","4","4"
"Bahrain","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2017","100","Bahrain dinar","1993","Western calendar year","3014885477.20336","4","4"
"Bahrain","2.1","Industries","Financial intermediation","J","2017","100","Bahrain dinar","1993","Western calendar year","2263003078.26061","4","4"
"Bahrain","2.1","Industries","Real estate, renting and business activities","K","2017","100","Bahrain dinar","1993","Western calendar year","751882398.942758","4","4"
"Bahrain","2.1","Industries","Public administration and defence; compulsory social security","L","2017","100","Bahrain dinar","1993","Western calendar year","1159496308.24349","4","4"
"Bahrain","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2017","100","Bahrain dinar","1993","Western calendar year","1457180215.45733","4","4"
"Bahrain","2.1","Industries","Education","M","2017","100","Bahrain dinar","1993","Western calendar year","648603816.270906","4","4"
"Bahrain","2.1","Industries","Health and social work","N","2017","100","Bahrain dinar","1993","Western calendar year","435856367.89871","4","4"
"Bahrain","2.1","Industries","Other community, social and personal services","O","2017","100","Bahrain dinar","1993","Western calendar year","372720031.287717","4,5","4,5"
"Bahrain","2.1","Industries","Private households with employed persons","P","2017","100","Bahrain dinar","1993","Western calendar year","142359694.317646","4","4"
"Bahrain","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2017","100","Bahrain dinar","1993","Western calendar year","13196404738.6644","4","4"
"Bahrain","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2017","100","Bahrain dinar","1993","Western calendar year","126280000","6","6"
"Bahrain","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2017","100","Bahrain dinar","1993","Western calendar year","13322684738.6644","",""
"Bangladesh","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2017","100","taka","1993","Fiscal year ending 30 June","2650253000000","",""
"Bangladesh","2.1","Industries","Agriculture, hunting, forestry","A","2017","100","taka","1993","Fiscal year ending 30 June","2053983000000","",""
"Bangladesh","2.1","Industries","Agriculture, hunting and related service activities","01","2017","100","taka","1993","Fiscal year ending 30 June","1797307000000","",""
